Column1,Column2,Column3,Column4
178,144,5,1
179,144,5,1
180,144,5,1
181,144,5,1
182,144,5,1
183,144,5,1
184,144,5,1
185,144,5,1
186,144,5,1
187,144,5,1
188,144,5,1
189,144,5,1
190,144,5,1
191,144,5,1
192,144,5,1
193,144,5,1
194,144,5,1
195,144,5,1
196,144,5,1
197,144,5,1
198,144,5,1
199,143,6,1
200,143,5,2
201,143,5,2
202,143,5,2
203,143,5,2
204,143,5,2
205,143,5,2
206,143,5,2
207,143,5,2
208,143,5,2
209,143,5,2
210,143,5,2
211,142,6,2
212,142,6,2
213,142,6,2
214,142,6,2
215,142,6,2
216,141,7,2
217,141,7,2
218,141,7,2
219,141,7,2
220,140,8,2
221,140,8,2
222,140,8,2
223,140,8,2
224,140,8,2
225,140,7,3
226,140,7,3
227,140,7,3
228,140,7,3
229,140,6,4
230,140,6,4
231,140,6,4
232,140,6,4
233,140,6,4
234,140,5,5
235,140,5,5
236,140,5,5
237,140,5,5
238,140,5,5
239,140,5,5
240,140,5,5
241,140,5,5
242,140,5,5
243,140,5,5
244,140,5,5
245,140,5,5
246,140,5,5
247,140,5,5
248,140,5,5
249,140,5,5
250,140,5,5
251,140,5,5
252,140,5,5
253,140,5,5
254,140,5,5
255,140,5,5
256,140,5,5
257,140,5,5
258,140,5,5
259,140,5,5
260,140,5,5
261,140,5,5
262,140,5,5
263,140,5,5
264,140,5,5
265,140,5,5
266,140,5,5
267,140,5,5
268,140,5,5
269,140,5,5
270,140,5,5
271,140,5,5
272,140,5,5
273,140,5,5
274,140,5,5
275,139,6,5
276,139,6,5
277,139,6,5
278,139,6,5
279,138,6,6
280,138,6,6
281,138,6,6
282,138,6,6
283,138,6,6
284,138,6,6
285,137,7,6
286,137,7,6
287,137,7,6
288,137,7,6
289,137,7,6
290,137,7,6
291,137,7,6
292,137,7,6
293,137,7,6
294,137,7,6
295,137,7,6
296,137,7,6
297,137,7,6
298,137,7,6
299,137,7,6
300,137,7,6
301,137,7,6
302,137,7,6
303,137,7,6
304,137,7,6
305,137,7,6
306,137,7,6
307,137,7,6
308,137,6,7
309,137,6,7
310,137,6,7
311,137,6,7
312,137,6,7
313,137,6,7
314,136,7,7
315,136,7,7
316,136,7,7
317,136,7,7
318,136,7,7
319,136,7,7
320,136,7,7
321,136,7,7
322,136,7,7
323,136,7,7
324,136,7,7
325,136,7,7
326,136,7,7
327,136,7,7
328,136,7,7
329,136,7,7
330,136,7,7
331,136,7,7
332,136,7,7
333,136,7,7
334,136,7,7
335,136,7,7
336,135,8,7
337,135,8,7
338,135,8,7
339,135,8,7
340,135,8,7
341,135,8,7
342,135,7,8
343,135,7,8
344,135,7,8
345,135,7,8
346,134,8,8
347,134,8,8
348,134,8,8
349,134,8,8
350,134,8,8
351,133,9,8
352,133,9,8
353,133,8,9
354,133,8,9
355,133,8,9
356,133,8,9
357,133,8,9
358,133,8,9
359,132,9,9
360,132,9,9
361,132,9,9
362,132,9,9
363,131,10,9
364,131,9,10
365,131,9,10
366,131,9,10
367,131,9,10
368,131,9,10
369,131,9,10
370,131,9,10
371,131,9,10
372,131,9,10
373,131,9,10
374,131,9,10
375,131,9,10
376,131,9,10
377,131,9,10
378,131,9,10
379,131,9,10
380,131,9,10
381,131,9,10
382,131,9,10
383,131,9,10
384,131,9,10
385,131,9,10
386,131,9,10
387,131,9,10
388,131,9,10
389,131,9,10
390,131,9,10
391,131,9,10
392,131,9,10
393,131,9,10
394,131,9,10
395,131,9,10
396,131,9,10
397,131,9,10
398,131,8,11
399,131,8,11
400,131,8,11
401,131,8,11
402,131,8,11
403,131,8,11
404,131,8,11
405,131,8,11
406,131,8,11
407,131,8,11
408,131,8,11
409,130,9,11
410,130,9,11
411,130,9,11
412,129,10,11
413,129,10,11
414,129,10,11
415,129,10,11
416,129,10,11
417,129,10,11
418,129,10,11
419,129,10,11
420,129,10,11
421,129,10,11
422,129,10,11
423,128,11,11
